stock_id,net_buy,date
056013,1310000.0,2026-07-07
3031,1302832.0,2026-07-07
070718,1295000.0,2026-07-07
085468,1292000.0,2026-07-07
067575,1286000.0,2026-07-07
2515,1283713.0,2026-07-07
067124,1262000.0,2026-07-07
1444,1254165.0,2026-07-07
00924,1248366.0,2026-07-07
2363,1247236.0,2026-07-07
2367,1239414.0,2026-07-07
062593,1233000.0,2026-07-07
6919,1222087.0,2026-07-07
9907,1213711.0,2026-07-07
063522,1208000.0,2026-07-07
067536,1205000.0,2026-07-07
6414,1197967.0,2026-07-07
063532,1188000.0,2026-07-07
054287,1185000.0,2026-07-07
071358,1167000.0,2026-07-07
069883,1165000.0,2026-07-07
2485,1148852.0,2026-07-07
073915,1138000.0,2026-07-07
069304,1122000.0,2026-07-07
066634,1120000.0,2026-07-07
059756,1113000.0,2026-07-07
071642,1108000.0,2026-07-07
070753,1105000.0,2026-07-07
00900,1101364.0,2026-07-07
061644,1097000.0,2026-07-07
3605,1084512.0,2026-07-07
3006,1082329.0,2026-07-07
069618,1079000.0,2026-07-07
070903,1078000.0,2026-07-07
072925,1074000.0,2026-07-07
068006,1072000.0,2026-07-07
062080,1063000.0,2026-07-07
071911,1051000.0,2026-07-07
070930,1050000.0,2026-07-07
072432,1050000.0,2026-07-07
065264,1049000.0,2026-07-07
066719,1034000.0,2026-07-07
073110,1034000.0,2026-07-07
2027,1029641.0,2026-07-07
060205,1028000.0,2026-07-07
2466,1025795.0,2026-07-07
062170,1017000.0,2026-07-07
060475,1014000.0,2026-07-07
08219U,1008000.0,2026-07-07
03553T,1004000.0,2026-07-07
060299,1004000.0,2026-07-07
069063,999000.0,2026-07-07
040857,998000.0,2026-07-07
08769U,998000.0,2026-07-07
073524,997000.0,2026-07-07
063278,994000.0,2026-07-07
5388,991116.0,2026-07-07
069090,986000.0,2026-07-07
059982,986000.0,2026-07-07
071450,986000.0,2026-07-07
2208,985118.0,2026-07-07
044775,978000.0,2026-07-07
067544,975000.0,2026-07-07
069578,974000.0,2026-07-07
071752,972000.0,2026-07-07
061788,960000.0,2026-07-07
065953,953000.0,2026-07-07
073883,949000.0,2026-07-07
069510,945000.0,2026-07-07
060729,944000.0,2026-07-07
052191,944000.0,2026-07-07
069198,941000.0,2026-07-07
063794,941000.0,2026-07-07
064889,936000.0,2026-07-07
3532,935299.0,2026-07-07
070475,933000.0,2026-07-07
069302,930000.0,2026-07-07
6176,916456.0,2026-07-07
068781,915000.0,2026-07-07
3665,912219.0,2026-07-07
071147,912000.0,2026-07-07
066508,910000.0,2026-07-07
3704,909792.0,2026-07-07
065642,908000.0,2026-07-07
071382,907000.0,2026-07-07
072304,906000.0,2026-07-07
064466,903000.0,2026-07-07
070727,901000.0,2026-07-07
070484,900000.0,2026-07-07
057775,900000.0,2026-07-07
062689,900000.0,2026-07-07
00907,898156.0,2026-07-07
066680,896000.0,2026-07-07
053172,892000.0,2026-07-07
061016,891000.0,2026-07-07
064239,890000.0,2026-07-07
035762,878000.0,2026-07-07
068913,877000.0,2026-07-07
068140,875000.0,2026-07-07
068369,875000.0,2026-07-07
064546,869000.0,2026-07-07
071033,869000.0,2026-07-07
070177,868000.0,2026-07-07
070130,868000.0,2026-07-07
6579,867343.0,2026-07-07
068301,867000.0,2026-07-07
073920,867000.0,2026-07-07
066259,866000.0,2026-07-07
1447,864000.0,2026-07-07
9933,859743.0,2026-07-07
051911,853000.0,2026-07-07
067292,851000.0,2026-07-07
069508,851000.0,2026-07-07
059650,850000.0,2026-07-07
072328,850000.0,2026-07-07
070193,847000.0,2026-07-07
067073,847000.0,2026-07-07
041059,846000.0,2026-07-07
040807,845000.0,2026-07-07
038318,845000.0,2026-07-07
6451,844336.0,2026-07-07
009817,843186.0,2026-07-07
6449,841584.0,2026-07-07
00910,838465.0,2026-07-07
072193,838000.0,2026-07-07
070645,837000.0,2026-07-07
072158,830000.0,2026-07-07
00946,826406.0,2026-07-07
2201,824906.0,2026-07-07
063821,821000.0,2026-07-07
00757,820024.0,2026-07-07
03010T,820000.0,2026-07-07
061789,815000.0,2026-07-07
061162,814000.0,2026-07-07
5285,811723.0,2026-07-07
063377,806000.0,2026-07-07
059264,806000.0,2026-07-07
066235,804000.0,2026-07-07
070962,803000.0,2026-07-07
068911,802000.0,2026-07-07
069246,801000.0,2026-07-07
064025,800000.0,2026-07-07
4532,798308.0,2026-07-07
061686,792000.0,2026-07-07
052206,789000.0,2026-07-07
073133,788000.0,2026-07-07
066167,787000.0,2026-07-07
00898,786366.0,2026-07-07
6164,784024.0,2026-07-07
03466T,783000.0,2026-07-07
065067,781000.0,2026-07-07
070094,780000.0,2026-07-07
03525T,778000.0,2026-07-07
068114,776000.0,2026-07-07
063485,774000.0,2026-07-07
04016C,774000.0,2026-07-07
00985A,769817.0,2026-07-07
065149,769000.0,2026-07-07
070149,762000.0,2026-07-07
03644T,761000.0,2026-07-07
072069,760000.0,2026-07-07
3046,755770.0,2026-07-07
063859,751000.0,2026-07-07
070291,748000.0,2026-07-07
035325,747000.0,2026-07-07
2493,745991.0,2026-07-07
068599,745000.0,2026-07-07
1455,743570.0,2026-07-07
070951,743000.0,2026-07-07
040628,737000.0,2026-07-07
040426,729000.0,2026-07-07
048740,727000.0,2026-07-07
065223,725000.0,2026-07-07
052042,718000.0,2026-07-07
072745,711000.0,2026-07-07
071149,709000.0,2026-07-07
067621,707000.0,2026-07-07
08748U,706000.0,2026-07-07
073285,706000.0,2026-07-07
072151,706000.0,2026-07-07
065868,704000.0,2026-07-07
071232,702000.0,2026-07-07
070993,700000.0,2026-07-07
1440,696947.0,2026-07-07
6005,696884.0,2026-07-07
069449,691000.0,2026-07-07
065122,690000.0,2026-07-07
071105,687000.0,2026-07-07
009811,682864.0,2026-07-07
071860,682000.0,2026-07-07
065002,679000.0,2026-07-07
069303,674000.0,2026-07-07
062836,673000.0,2026-07-07
071057,672000.0,2026-07-07
066750,672000.0,2026-07-07
056163,672000.0,2026-07-07
071538,665000.0,2026-07-07
071784,664000.0,2026-07-07
071150,659000.0,2026-07-07
060900,658000.0,2026-07-07
070381,656000.0,2026-07-07
051275,655000.0,2026-07-07
073496,653000.0,2026-07-07
068736,651000.0,2026-07-07
072437,649000.0,2026-07-07
00949,646878.0,2026-07-07
071422,646000.0,2026-07-07
069305,646000.0,2026-07-07
066305,645000.0,2026-07-07
064420,644000.0,2026-07-07
00915,643115.0,2026-07-07
072084,643000.0,2026-07-07
061274,642000.0,2026-07-07
063523,641000.0,2026-07-07
071106,641000.0,2026-07-07
072643,639000.0,2026-07-07
8033,637862.0,2026-07-07
071637,637000.0,2026-07-07
064288,636000.0,2026-07-07
044268,635000.0,2026-07-07
03142T,634000.0,2026-07-07
2606,633127.0,2026-07-07
055232,628000.0,2026-07-07
1308,627957.0,2026-07-07
062639,626000.0,2026-07-07
069870,624000.0,2026-07-07
072865,624000.0,2026-07-07
2357,622982.0,2026-07-07
4916,622517.0,2026-07-07
8926,620043.0,2026-07-07
067439,619000.0,2026-07-07
073673,618000.0,2026-07-07
072938,618000.0,2026-07-07
072021,618000.0,2026-07-07
068754,618000.0,2026-07-07
068447,618000.0,2026-07-07
059185,618000.0,2026-07-07
073499,616000.0,2026-07-07
03379T,615000.0,2026-07-07
070099,612000.0,2026-07-07
073172,612000.0,2026-07-07
071673,612000.0,2026-07-07
070736,607000.0,2026-07-07
053205,606000.0,2026-07-07
00752,603385.0,2026-07-07
072570,603000.0,2026-07-07
069643,602000.0,2026-07-07
052839,601000.0,2026-07-07
065146,600000.0,2026-07-07
066529,600000.0,2026-07-07
056644,600000.0,2026-07-07
6669,599502.0,2026-07-07
059091,599000.0,2026-07-07
070235,599000.0,2026-07-07
2478,598468.0,2026-07-07
060685,598000.0,2026-07-07
061583,598000.0,2026-07-07
054693,597000.0,2026-07-07
4169,596464.0,2026-07-07
066530,595000.0,2026-07-07
073261,594000.0,2026-07-07
063939,593000.0,2026-07-07
070489,592000.0,2026-07-07
066780,591000.0,2026-07-07
058384,589000.0,2026-07-07
057661,588000.0,2026-07-07
070963,587000.0,2026-07-07
2023,586250.0,2026-07-07
072754,585000.0,2026-07-07
072383,584000.0,2026-07-07
062057,584000.0,2026-07-07
072726,583000.0,2026-07-07
061204,581000.0,2026-07-07
063390,581000.0,2026-07-07
055836,579000.0,2026-07-07
070275,578000.0,2026-07-07
069382,576000.0,2026-07-07
061420,576000.0,2026-07-07
069036,576000.0,2026-07-07
068312,576000.0,2026-07-07
2836,575000.0,2026-07-07
1305,569938.0,2026-07-07
057209,569000.0,2026-07-07
056248,567000.0,2026-07-07
067045,565000.0,2026-07-07
065005,565000.0,2026-07-07
2353,564200.0,2026-07-07
059034,564000.0,2026-07-07
071401,562000.0,2026-07-07
072486,562000.0,2026-07-07
08589U,561000.0,2026-07-07
071261,561000.0,2026-07-07
044644,561000.0,2026-07-07
069142,559000.0,2026-07-07
064030,559000.0,2026-07-07
061045,558000.0,2026-07-07
00639,557297.0,2026-07-07
00635U,555932.0,2026-07-07
