stock_id,close,volume,prev_close,pct_change,date
00909,44.94,256770,45.559999999999995,-1.360842844600527,2026-08-03
00910,55.95,624819,55.45,0.9017132551848512,2026-08-03
00911,52.5,989901,53.65,-2.1435228331780056,2026-08-03
00912,32.01,1126602,32.08,-0.2182044887780549,2026-08-03
00913,45.42,2227234,44.31,2.5050778605280977,2026-08-03
00915,31.37,2797524,31.650000000000002,-0.8846761453396526,2026-08-03
00916,26.87,1303582,26.5,1.3962264150943395,2026-08-03
00917,24.12,243735,24.09,0.12453300124533001,2026-08-03
00918,32.97,30764674,32.73,0.7332722273143905,2026-08-03
00919,29.45,57432337,29.57,-0.4058167061210686,2026-08-03
00920,23.82,314446,23.89,-0.29300962745918796,2026-08-03
00921,22.69,86234,22.69,0.0,2026-08-03
00922,38.95,7509816,39.03,-0.20497053548552396,2026-08-03
00923,40.39,13707104,40.44,-0.12363996043521268,2026-08-03
00924,32.9,1638428,32.48,1.2931034482758623,2026-08-03
00926,26.0,182813,25.9,0.38610038610038616,2026-08-03
00927,34.8,18152268,34.489999999999995,0.8988112496375763,2026-08-03
00929,27.57,26429302,27.47,0.3640334910811795,2026-08-03
00930,23.42,681276,23.55,-0.5520169851380042,2026-08-03
00932,17.05,289286,16.98,0.41224970553592466,2026-08-03
00934,27.39,1205583,27.01,1.4068863383931878,2026-08-03
00935,54.4,28432310,52.65,3.323836657169991,2026-08-03
00936,20.59,816035,20.56,0.14591439688715954,2026-08-03
00938,24.81,2522472,25.299999999999997,-1.9367588932806328,2026-08-03
00939,22.07,3049365,22.27,-0.898069151324652,2026-08-03
00940,12.12,19744917,12.09,0.24813895781637718,2026-08-03
00941,25.51,6665075,25.84,-1.2770897832817338,2026-08-03
00943,20.95,1085719,20.74,1.012536162005786,2026-08-03
00944,20.19,610185,19.990000000000002,1.0005002501250626,2026-08-03
00945B,14.68,5027061,14.68,0.0,2026-08-03
00946,14.56,1662906,14.450000000000001,0.7612456747404844,2026-08-03
00947,32.65,16143245,30.91,5.629246198641217,2026-08-03
00949,21.49,874268,21.349999999999998,0.6557377049180328,2026-08-03
00951,17.58,2992821,16.93,3.83933845245127,2026-08-03
00952,17.36,3278119,17.169999999999998,1.1065812463599303,2026-08-03
00953B,9.83,38668529,9.83,0.0,2026-08-03
00954,18.73,2797918,18.03,3.882418191902384,2026-08-03
00956,13.13,724107,13.05,0.6130268199233717,2026-08-03
00960,18.93,681248,18.78,0.7987220447284344,2026-08-03
00961,12.92,7525203,12.95,-0.23166023166023164,2026-08-03
00962,14.42,405404,14.2,1.5492957746478873,2026-08-03
00963,13.44,1275712,13.469999999999999,-0.22271714922048996,2026-08-03
00964,13.73,3048498,13.81,-0.5792903692976104,2026-08-03
00965,25.2,1427002,25.05,0.5988023952095808,2026-08-03
00971,17.34,545529,17.09,1.462843768285547,2026-08-03
00972,21.51,295831,21.360000000000003,0.7022471910112359,2026-08-03
009800,12.8,1310831,12.82,-0.15600624024961,2026-08-03
009801,12.19,676873,12.16,0.24671052631578946,2026-08-03
009802,18.36,6046638,17.89,2.6271660145332585,2026-08-03
009803,20.38,3128965,20.48,-0.48828125,2026-08-03
009804,21.05,1103948,21.12,-0.3314393939393939,2026-08-03
009805,15.85,3086935,15.73,0.7628734901462174,2026-08-03
